"Start.station.number","End.station.number","freq","start.lat","start.lon","end.lat","end.lon"
31000,31265,3,38.858971,-77.05323,38.90093,-77.018677
31000,31271,6,38.858971,-77.05323,38.892275,-77.013917
31000,31273,2,38.858971,-77.05323,38.878433,-77.03023
31000,31274,1,38.858971,-77.05323,38.898243,-77.026235
31000,31275,2,38.858971,-77.05323,38.901755,-77.051084
31000,31277,3,38.858971,-77.05323,38.89841,-77.039624
31000,31279,1,38.858971,-77.05323,38.898412,-77.043182
31000,31288,1,38.858971,-77.05323,38.890493,-77.017253
31000,31289,6,38.858971,-77.05323,38.890544,-77.049379
31000,31290,10,38.858971,-77.05323,38.888097,-77.038325
31000,31291,4,38.858971,-77.05323,38.90268,-77.035737
31000,31292,1,38.858971,-77.05323,38.892441,-77.048947
31000,31312,1,38.858971,-77.05323,38.90849,-77.063586
31000,31314,1,38.858971,-77.05323,38.903663,-77.067668
31000,31400,1,38.858971,-77.05323,38.936043,-77.024649
31000,31500,1,38.858971,-77.05323,38.919077,-77.000648
31000,31600,1,38.858971,-77.05323,38.90304,-77.019027
31000,31601,1,38.858971,-77.05323,38.8896,-76.9769
31000,31604,2,38.858971,-77.05323,38.899408,-77.015289
31000,31620,1,38.858971,-77.05323,38.897222,-77.019347
31000,31621,2,38.858971,-77.05323,38.895344,-77.016106
31000,31624,1,38.858971,-77.05323,38.897446,-77.00989
31000,31633,1,38.858971,-77.05323,38.887312,-77.025762
31000,31806,1,38.858971,-77.05323,38.844711,-76.987823
31000,31909,8,38.858971,-77.05323,38.843422,-77.064016
31000,31910,1,38.858971,-77.05323,38.822738,-77.049265
31000,31913,1,38.858971,-77.05323,38.820058,-77.062821
31000,31915,1,38.858971,-77.05323,38.818748,-77.047783
31000,31916,47,38.858971,-77.05323,38.829545,-77.047844
31000,31918,3,38.858971,-77.05323,38.812351,-77.040691
31001,31000,15,38.85725,-77.05332,38.858971,-77.05323
31001,31001,120,38.85725,-77.05332,38.85725,-77.05332
31001,31002,36,38.85725,-77.05332,38.856425,-77.049232
31001,31003,22,38.85725,-77.05332,38.86017,-77.049593
31001,31004,27,38.85725,-77.05332,38.857866,-77.05949
31001,31005,218,38.85725,-77.05332,38.862303,-77.059936
31001,31006,150,38.85725,-77.05332,38.8637,-77.0633
31001,31007,65,38.85725,-77.05332,38.857405,-77.051132
31001,31008,62,38.85725,-77.05332,38.8629,-77.0528
31001,31009,32,38.85725,-77.05332,38.848441,-77.051516
31001,31010,48,38.85725,-77.05332,38.8426,-77.0502
31001,31011,112,38.85725,-77.05332,38.8533,-77.0498
31001,31012,7,38.85725,-77.05332,38.850688,-77.05152
31001,31013,135,38.85725,-77.05332,38.854381,-77.053412
31001,31014,6,38.85725,-77.05332,38.897315,-77.070993
31001,31015,2,38.85725,-77.05332,38.8946,-77.072305
31001,31016,2,38.85725,-77.05332,38.893438,-77.076389
31001,31026,1,38.85725,-77.05332,38.884734,-77.093485
31001,31027,1,38.85725,-77.05332,38.896015,-77.078107
31001,31041,6,38.85725,-77.05332,38.803124,-77.040363
31001,31042,6,38.85725,-77.05332,38.804718,-77.043363
31001,31043,7,38.85725,-77.05332,38.810743,-77.044664
31001,31044,1,38.85725,-77.05332,38.805317,-77.049883
31001,31046,1,38.85725,-77.05332,38.811456,-77.050276
31001,31047,3,38.85725,-77.05332,38.814577,-77.052808
31001,31048,1,38.85725,-77.05332,38.805767,-77.06072
31001,31052,13,38.85725,-77.05332,38.844015,-77.050537
31001,31055,110,38.85725,-77.05332,38.846222,-77.069275
31001,31056,8,38.85725,-77.05332,38.847977,-77.075104
31001,31057,11,38.85725,-77.05332,38.8444,-77.085931
31001,31059,7,38.85725,-77.05332,38.84736,-77.095431
31001,31060,21,38.85725,-77.05332,38.84232,-77.089555
31001,31064,1,38.85725,-77.05332,38.834108,-77.087323
31001,31065,2,38.85725,-77.05332,38.880705,-77.08596
31001,31066,3,38.85725,-77.05332,38.867262,-77.072315
31001,31067,2,38.85725,-77.05332,38.862478,-77.086599
31001,31071,28,38.85725,-77.05332,38.86646,-77.04826
31001,31072,1,38.85725,-77.05332,38.837666,-77.09482
31001,31073,2,38.85725,-77.05332,38.873219,-77.082104
31001,31076,1,38.85725,-77.05332,38.839912,-77.087083
31001,31077,6,38.85725,-77.05332,38.88992,-77.071301
