"Start.station.number","starthour","variable","value"
31011,5,"inflow",151
31011,6,"inflow",314
31011,7,"inflow",479
31011,8,"inflow",964
31011,9,"inflow",560
31011,10,"inflow",259
31011,11,"inflow",272
31011,12,"inflow",399
31011,13,"inflow",382
31011,14,"inflow",268
31011,15,"inflow",246
31011,16,"inflow",341
31011,17,"inflow",443
31011,18,"inflow",558
31011,19,"inflow",382
31011,20,"inflow",301
31011,21,"inflow",190
31011,22,"inflow",120
31011,23,"inflow",62
31012,0,"inflow",13
31012,1,"inflow",3
31012,2,"inflow",5
31012,3,"inflow",NA
31012,5,"inflow",6
31012,6,"inflow",79
31012,7,"inflow",273
31012,8,"inflow",497
31012,9,"inflow",354
31012,10,"inflow",94
31012,11,"inflow",54
31012,12,"inflow",65
31012,13,"inflow",80
31012,14,"inflow",69
31012,15,"inflow",68
31012,16,"inflow",56
31012,17,"inflow",86
31012,18,"inflow",138
31012,19,"inflow",78
31012,20,"inflow",51
31012,21,"inflow",32
31012,22,"inflow",16
31012,23,"inflow",14
31013,0,"inflow",58
31013,1,"inflow",22
31013,2,"inflow",22
31013,3,"inflow",3
31013,4,"inflow",7
31013,5,"inflow",8
31013,6,"inflow",14
31013,7,"inflow",48
31013,8,"inflow",161
31013,9,"inflow",214
31013,10,"inflow",118
31013,11,"inflow",134
31013,12,"inflow",160
31013,13,"inflow",136
31013,14,"inflow",105
31013,15,"inflow",120
31013,16,"inflow",180
31013,17,"inflow",310
31013,18,"inflow",423
31013,19,"inflow",293
31013,20,"inflow",166
31013,21,"inflow",133
31013,22,"inflow",88
31013,23,"inflow",78
31014,0,"inflow",114
31014,1,"inflow",97
31014,2,"inflow",57
31014,3,"inflow",48
31014,4,"inflow",22
31014,5,"inflow",50
31014,6,"inflow",319
31014,7,"inflow",1813
31014,8,"inflow",3466
31014,9,"inflow",1466
31014,10,"inflow",637
31014,11,"inflow",730
31014,12,"inflow",819
31014,13,"inflow",925
31014,14,"inflow",952
31014,15,"inflow",901
31014,16,"inflow",1318
31014,17,"inflow",1987
31014,18,"inflow",1682
31014,19,"inflow",1057
31014,20,"inflow",819
31014,21,"inflow",516
31014,22,"inflow",397
31014,23,"inflow",232
31015,0,"inflow",49
31015,1,"inflow",35
31015,2,"inflow",22
31015,5,"inflow",75
31015,6,"inflow",200
31015,7,"inflow",1127
31015,8,"inflow",1294
31015,9,"inflow",633
31015,10,"inflow",307
31015,11,"inflow",411
31015,12,"inflow",450
31015,13,"inflow",369
31015,14,"inflow",413
31015,15,"inflow",457
31015,16,"inflow",573
31015,17,"inflow",977
31015,18,"inflow",835
31015,19,"inflow",547
31015,20,"inflow",384
31015,21,"inflow",259
31015,22,"inflow",198
31015,23,"inflow",81
31016,0,"inflow",58
31016,1,"inflow",21
31016,2,"inflow",11
31016,3,"inflow",4
31016,4,"inflow",4
31016,5,"inflow",163
31016,6,"inflow",130
31016,7,"inflow",311
31016,8,"inflow",788
31016,9,"inflow",413
31016,10,"inflow",233
31016,11,"inflow",266
31016,12,"inflow",406
31016,13,"inflow",372
31016,14,"inflow",256
31016,15,"inflow",261
31016,16,"inflow",348
31016,17,"inflow",512
31016,18,"inflow",479
31016,19,"inflow",366
31016,20,"inflow",253
31016,21,"inflow",175
31016,22,"inflow",107
31016,23,"inflow",54
31017,0,"inflow",29
31017,1,"inflow",14
31017,2,"inflow",3
31017,3,"inflow",1
31017,4,"inflow",1
31017,5,"inflow",4
31017,6,"inflow",48
31017,7,"inflow",244
31017,8,"inflow",669
31017,9,"inflow",310
31017,10,"inflow",135
31017,11,"inflow",146
31017,12,"inflow",175
31017,13,"inflow",108
31017,14,"inflow",98
31017,15,"inflow",93
31017,16,"inflow",122
31017,17,"inflow",238
31017,18,"inflow",222
31017,19,"inflow",162
31017,20,"inflow",106
31017,21,"inflow",92
31017,22,"inflow",68
31017,23,"inflow",48
31018,0,"inflow",22
31018,1,"inflow",10
31018,2,"inflow",7
31018,3,"inflow",NA
31018,5,"inflow",3
31018,6,"inflow",16
31018,7,"inflow",29
31018,8,"inflow",88
31018,9,"inflow",126
31018,10,"inflow",49
31018,11,"inflow",94
31018,12,"inflow",90
31018,13,"inflow",92
31018,14,"inflow",85
31018,15,"inflow",119
31018,16,"inflow",147
31018,17,"inflow",268
31018,18,"inflow",270
31018,19,"inflow",207
31018,20,"inflow",134
31018,21,"inflow",67
31018,22,"inflow",42
31018,23,"inflow",21
31019,0,"inflow",8
31019,1,"inflow",8
31019,2,"inflow",2
31019,3,"inflow",NA
31019,5,"inflow",1
31019,6,"inflow",7
31019,7,"inflow",43
31019,8,"inflow",78
31019,9,"inflow",112
31019,10,"inflow",151
31019,11,"inflow",136
31019,12,"inflow",170
31019,13,"inflow",153
31019,14,"inflow",148
31019,15,"inflow",149
31019,16,"inflow",189
31019,17,"inflow",327
31019,18,"inflow",309
31019,19,"inflow",211
31019,20,"inflow",152
31019,21,"inflow",87
31019,22,"inflow",43
31019,23,"inflow",19
31020,0,"inflow",28
31020,1,"inflow",13
31020,2,"inflow",8
31020,3,"inflow",4
31020,4,"inflow",2
31020,5,"inflow",2
31020,6,"inflow",9
31020,7,"inflow",230
31020,8,"inflow",139
31020,9,"inflow",158
31020,10,"inflow",157
31020,11,"inflow",122
31020,12,"inflow",128
31020,13,"inflow",202
31020,14,"inflow",125
31020,15,"inflow",121
31020,16,"inflow",148
31020,17,"inflow",241
31020,18,"inflow",227
31020,19,"inflow",191
31020,20,"inflow",107
31020,21,"inflow",63
31020,22,"inflow",25
31020,23,"inflow",34
31021,0,"inflow",4
31021,1,"inflow",7
31021,2,"inflow",1
31021,3,"inflow",4
31021,4,"inflow",3
31021,5,"inflow",37
31021,6,"inflow",56
31021,7,"inflow",114
31021,8,"inflow",120
31021,9,"inflow",83
31021,10,"inflow",128
31021,11,"inflow",188
31021,12,"inflow",196
31021,13,"inflow",201
31021,14,"inflow",151
31021,15,"inflow",176
31021,16,"inflow",215
31021,17,"inflow",343
31021,18,"inflow",343
31021,19,"inflow",257
31021,20,"inflow",168
31021,21,"inflow",66
31021,22,"inflow",24
31021,23,"inflow",17
31022,0,"inflow",21
31022,1,"inflow",19
31022,2,"inflow",5
31022,3,"inflow",3
31022,4,"inflow",NA
31022,5,"inflow",2
31022,6,"inflow",90
31022,7,"inflow",152
31022,8,"inflow",615
31022,9,"inflow",245
31022,10,"inflow",194
31022,11,"inflow",269
31022,12,"inflow",301
31022,13,"inflow",313
31022,14,"inflow",265
31022,15,"inflow",227
31022,16,"inflow",316
31022,17,"inflow",482
31022,18,"inflow",482
31022,19,"inflow",385
31022,20,"inflow",234
31022,21,"inflow",130
31022,22,"inflow",62
31022,23,"inflow",35
31023,0,"inflow",21
31023,1,"inflow",15
31023,2,"inflow",4
31023,3,"inflow",2
31023,4,"inflow",5
31023,5,"inflow",4
31023,6,"inflow",34
31023,7,"inflow",80
31023,8,"inflow",144
31023,9,"inflow",186
31023,10,"inflow",138
31023,11,"inflow",200
31023,12,"inflow",182
31023,13,"inflow",188
31023,14,"inflow",195
31023,15,"inflow",212
31023,16,"inflow",290
31023,17,"inflow",547
31023,18,"inflow",442
31023,19,"inflow",314
31023,20,"inflow",160
31023,21,"inflow",99
31023,22,"inflow",70
31023,23,"inflow",61
31024,0,"inflow",18
31024,1,"inflow",24
31024,2,"inflow",5
31024,3,"inflow",3
31024,4,"inflow",8
31024,5,"inflow",14
31024,6,"inflow",123
31024,7,"inflow",564
31024,8,"inflow",797
31024,9,"inflow",629
31024,10,"inflow",296
31024,11,"inflow",224
31024,12,"inflow",286
31024,13,"inflow",235
31024,14,"inflow",238
31024,15,"inflow",195
31024,16,"inflow",303
31024,17,"inflow",623
31024,18,"inflow",485
31024,19,"inflow",239
31024,20,"inflow",190
31024,21,"inflow",124
31024,22,"inflow",81
31024,23,"inflow",53
31025,0,"inflow",18
31025,1,"inflow",5
31025,2,"inflow",4
31025,4,"inflow",5
31025,5,"inflow",18
31025,6,"inflow",30
31025,7,"inflow",56
