"","Start.station.number","starthour","freq.x","freq.y"
"244",31010,8,271,-110
"245",31010,9,232,-118
"246",31010,10,180,-154
"247",31010,11,206,-210
"248",31010,12,231,-275
"249",31010,13,247,-224
"250",31010,14,212,-258
"251",31010,15,216,-257
"252",31010,16,310,-444
"253",31010,17,376,-567
"254",31010,18,359,-525
"255",31010,19,270,-331
"256",31010,20,171,-213
"257",31010,21,117,-169
"258",31010,22,81,-102
"259",31010,23,35,-65
"260",31011,0,45,-30
"261",31011,1,26,-19
"262",31011,2,13,-11
"263",31011,3,6,-11
"264",31011,4,6,-4
"265",31011,5,8,-151
"266",31011,6,40,-314
"267",31011,7,400,-479
"268",31011,8,190,-964
"269",31011,9,256,-560
"270",31011,10,192,-259
"271",31011,11,275,-272
"272",31011,12,351,-399
"273",31011,13,338,-382
"274",31011,14,305,-268
"275",31011,15,507,-246
"276",31011,16,687,-341
"277",31011,17,785,-443
"278",31011,18,686,-558
"279",31011,19,419,-382
"280",31011,20,323,-301
"281",31011,21,153,-190
"282",31011,22,121,-120
"283",31011,23,64,-62
"284",31012,0,4,-13
"285",31012,1,7,-3
"286",31012,2,2,-5
"287",31012,3,1,NA
"288",31012,5,5,-6
"289",31012,6,19,-79
"290",31012,7,80,-273
"291",31012,8,126,-497
"292",31012,9,164,-354
"293",31012,10,61,-94
"294",31012,11,72,-54
"295",31012,12,105,-65
"296",31012,13,90,-80
"297",31012,14,64,-69
"298",31012,15,146,-68
"299",31012,16,388,-56
"300",31012,17,485,-86
"301",31012,18,223,-138
"302",31012,19,96,-78
"303",31012,20,26,-51
"304",31012,21,28,-32
"305",31012,22,9,-16
"306",31012,23,9,-14
"307",31013,0,42,-58
"308",31013,1,33,-22
"309",31013,2,26,-22
"310",31013,3,20,-3
"311",31013,4,9,-7
"312",31013,5,10,-8
"313",31013,6,29,-14
"314",31013,7,77,-48
"315",31013,8,227,-161
"316",31013,9,187,-214
"317",31013,10,151,-118
"318",31013,11,165,-134
"319",31013,12,174,-160
"320",31013,13,141,-136
"321",31013,14,106,-105
"322",31013,15,99,-120
"323",31013,16,135,-180
"324",31013,17,176,-310
"325",31013,18,240,-423
"326",31013,19,143,-293
"327",31013,20,147,-166
"328",31013,21,94,-133
"329",31013,22,97,-88
"330",31013,23,46,-78
"331",31014,0,34,-114
"332",31014,1,29,-97
"333",31014,2,12,-57
"334",31014,3,4,-48
"335",31014,4,18,-22
"336",31014,5,56,-50
"337",31014,6,145,-319
"338",31014,7,692,-1813
"339",31014,8,1305,-3466
"340",31014,9,831,-1466
"341",31014,10,638,-637
"342",31014,11,666,-730
"343",31014,12,723,-819
"344",31014,13,735,-925
"345",31014,14,740,-952
"346",31014,15,867,-901
"347",31014,16,1456,-1318
"348",31014,17,2415,-1987
"349",31014,18,1734,-1682
"350",31014,19,829,-1057
"351",31014,20,446,-819
"352",31014,21,213,-516
"353",31014,22,146,-397
"354",31014,23,88,-232
"355",31015,0,40,-49
"356",31015,1,13,-35
"357",31015,2,4,-22
"358",31015,5,18,-75
"359",31015,6,94,-200
"360",31015,7,230,-1127
"361",31015,8,405,-1294
"362",31015,9,449,-633
"363",31015,10,312,-307
"364",31015,11,332,-411
"365",31015,12,408,-450
"366",31015,13,301,-369
"367",31015,14,293,-413
"368",31015,15,492,-457
"369",31015,16,591,-573
"370",31015,17,853,-977
"371",31015,18,696,-835
"372",31015,19,366,-547
"373",31015,20,194,-384
"374",31015,21,140,-259
"375",31015,22,110,-198
"376",31015,23,52,-81
"377",31016,0,27,-58
"378",31016,1,13,-21
"379",31016,2,10,-11
"380",31016,3,3,-4
"381",31016,4,7,-4
"382",31016,5,23,-163
"383",31016,6,100,-130
"384",31016,7,280,-311
"385",31016,8,680,-788
"386",31016,9,511,-413
"387",31016,10,328,-233
"388",31016,11,360,-266
"389",31016,12,303,-406
"390",31016,13,340,-372
"391",31016,14,298,-256
"392",31016,15,307,-261
"393",31016,16,425,-348
"394",31016,17,665,-512
"395",31016,18,491,-479
"396",31016,19,312,-366
"397",31016,20,202,-253
"398",31016,21,132,-175
"399",31016,22,75,-107
"400",31016,23,38,-54
"401",31017,0,42,-29
"402",31017,1,39,-14
"403",31017,2,13,-3
"404",31017,3,3,-1
"405",31017,4,5,-1
"406",31017,5,19,-4
"407",31017,6,49,-48
